,Sentence
1273,"Shortly after the Axis invasion of Yugoslavia in April 1941, Kocbek was among the founders of the Liberation Front of the Slovene Nation as member of its Christian Socialist group."
1274,He however maintained close contacts with Slovene intellectual circles.
1275,"Prose Strah in pogum: štiri novele (""Fear and Courage: Four Short Stories""."
1276,A sitting statue of the poet was ceremonially unveiled in the immediate vicinity of the Tivoli Pond in Tivoli Park in Ljubljana.
1277,"The international pressure on Yugoslavia, especially the intervention of the German writer Heinrich Böll, was most probably the main element that protected Kocbek from judicial prosecution."
1278,See also Slovenian literature History of Slovenia References
1279,The poet sits on a bank and looks at his 30 cm (12 in) double on a handhold of the bank.
1280,"Krogi navznoter (""Inside Circles""."
1281,"Ljubljana: Slovenska matica, 1963)."
1282,"The Zaliv Scandal Following the 1975 Zaliv Scandal, the Communist regime launched another massive denigration campaign against him."
1283,"In 2004, the centenary of Kocbek's birth was celebrated with many events, culminating in an official state celebration with the Slovenian Prime Minister Anton Rop as the main speaker."
1284,It is a bronze statue by the sculptor Boštjan Drinovec.
1285,"Ljubljana: Nova založba, 1934)."
1286,"Celje: Mohorjeva družba, 1964)."
1287,"Translations to English The Lipizzaners (poetry) (Ljubljana: Association of Slovene Writers, 1989)."
1288,"He is considered one of the best authors who have written in Slovene, and one of the best Slovene poets after Prešeren."
1289,He remained active in the Catholic youth movement.
1290,He died in Ljubljana in 1981 and was buried in the Žale cemetery.
1291,Young poets such as Ivan Hribovšek gathered around Kocbek and published their work in Dejanje.
1292,"During this time, he also published his first poems in the prominent Catholic cultural magazine Dom in svet."
1293,"Between 1937 and 1941, Kocbek maintained an ambiguous position towards Communism: on the one hand, he rejected both ""left and right totalitarianism"", on the other he maintained contacts with both Slovene Communists and the left liberal intellectuals around the journals Sodobnost and Ljubljanski zvon, in an attempt to establish a popular front against the Fascist threat."
1294,"Just before the end of World War II, he was nominated as Minister for Slovenia in the interim Yugoslav government led by Josip Broz Tito."
1295,"In 1925, Kocbek graduated from the Maribor gymnasium and went to a long excursion through Italy together with his close friend Pino Mlakar."
1296,"As a consequence, Kocbek became the referential figure on the Christian left in Slovenia."
1297,"For the rest of his life, Kocbek would maintain contacts with the circle around the French magazine Esprit, with which he felt the strongest intellectual affinity."
1298,"In 1998, a street in Ljubljana's Bežigrad district was named after him, A street in Celje is also named after him."
1299,"Ljubljana: Državna založba Slovenije, 1949)."
1300,"Upon returning, he decided to enroll to the Maribor priest seminar; he however quit after two years and enrolled at the University of Ljubljana, where he studied French language and literature."
1301,"Ljubljana: Državna založba Slovenije, 1951)."
1302,Na vratih zvečer
1303,Sixty-nine secret police officials followed Kocbek between 1952 and 1981.
1304,"His Slovene language teacher was Anton Sovre, the most prominent classical philologist and translator from Greek in Slovenia between the two world wars."
1305,"Throughout his life, Kocbek maintained contacts with several French Christian left thinkers, most notably with the writer Jean-Marie Domenach."
1306,"During his high school years in Maribor, he joined a group of young Christian socialists who wanted to continue the legacy of both the Slovene Christian socialist political activist and thinker Janez Evangelist Krek, and the Social democratic author Ivan Cankar."
1307,"Nothing Is Lost: Selected Poems (Princeton, Oxford: Princeton University Press, 2004)."
1308,"During the same period, he became active in the Catholic athletic club Orel."
1309,"Poročilo: pesmi (""Report: Poems""; Maribor: Založba Obzorja, 1969)."
1310,"His father Valentin Kocbek was originally from the nearby Slovene Hills (Slovene: Slovenske gorice) area, while his mother Matilda, née Plohl was from the neighboring village of Sveti Tomaž in the Prlekija Hills."
1311,"In 1976, two of his closest friends, Viktor Blažič and Franc Miklavčič, were arrested and placed on trial for belonging to ""Kocbek's secret circle."""
1312,"Pred viharjem (""Before the Storm""."
1313,"His later modernist poetry became an important source of inspiration for the young generations of Slovene authors, including such leading figures like Dominik Smole, Jože Snoj, Tomaž Šalamun, Marjan Rožanc, and many others."
1314,"The group became eventually known as the ""Crusaders"" (Slovene: križarji), after the journal Križ na gori (""Cross on the Mountain""), edited by the poet Anton Vodnik, who became one of the spiritual leaders of the group."
1315,"Sodobni misleci (""Contemporary Thinkers""."
1316,His daughter Lučka died in 1973 at the age of 34 because of a cerebral hemorrhage.
1317,"Several of his personal files were stolen and were never recovered, and his apartment was wired."
1318,"In 1936, he returned to Slovenia, where he was employed as professor of French language at the Bežigrad Grammar School."
1319,"Embers in the house of night : selected poems of Edvard Kocbek (Santa Fe, New Mexico: Lumen, 1999)."
1320,"His personal file (under the number 584), written from 1944 to 1981, has 4,268 pages of reports."
1321,"Ljubljana: Slovenska matica, 1980), with a preface by Janez Gradišnik."
1322,"Groza (""Dread""."
1323,"His older son Matjaž Kocbek (1946–2013), became a renowned poet and art theorist, and his younger son Jurij Kocbek (1949–2009) was a photographer and graphic designer."
1324,"After his return to Yugoslavia in 1932, he was transferred from Bjelovar to Varaždin, also in Croatia."
1325,"Trieste: Založništvo tržaškega tiska, 1974)."
1326,"In the next decade, he was not allowed to appear in public, let alone publish his books or essays."
1327,"In the mid-1970s, during a renovation of their apartment, Kocbek's son Jurij Kocbek discovered a microphone hidden in the wall."
1328,"After several months in underground during the Italian occupation, Kocbek joined the Slovene Partisans where in 1943 he was forced to agree to dissolve the Christian Socialist group within the Liberation Front and recognized the absolute primacy of the Communist Party of Slovenia within the Partisans."
1329,"He attended the German-language high school in Maribor, where he witnessed with enthusiasm the takeover of the town by the Slovene volunteers led by general Rudolf Maister."
1330,"In the years of his isolation, Kocbek turned almost exclusively to poetry, where he explored philosophical and ethical issues in a modernist style."
1331,"In addition to Slovene, Kocbek was fluent in German, French, and Serbo-Croatian, and knew Latin and ancient Greek."
1332,"Biography Early life and school Kocbek was born in the village of Sveti Jurij ob Ščavnici in the Duchy of Styria, then part of the Austro-Hungarian Empire, now in Slovenia."
1333,"There, he also established contacts with the local leftist, especially Marxist subculture."
1334,"Ljubljana: Slovenska matica, 1967)."
1335,He later switched to the Slovene language high school in Ptuj.
1336,"In 1938, Kocbek founded a new journal, Dejanje (The Action), which soon emerged as one of the most influential journals in Slovenia."
1337,Sovre was the first to discover Kocbek's literary talent and encourage him to write and to participate in the dramatic circle.
1338,"Kocbek wrote a famous poem for the occasion, entitled A Microphone in the Wall (Mikrofon v zidu), in which he poetically juxtaposed technology to human activity."
